Project Organization,Month Year,Total IC Amount
Economics,2015-05,2364.9
Economics,2015-06,4259.74
Economics,2015-07,1052.53
Economics,2015-08,1052.53
Economics,2015-09,2045.86
Economics,2015-10,2080.48
Economics,2015-11,1296.22
Economics,2015-12,1730.47
Economics,2016-01,1334.27
Economics,2016-02,1700.75
Economics,2016-03,1293.8
Economics,2016-04,1293.8
Economics,2016-05,1540.17
Economics,2016-06,11591.93
Economics,2016-07,4761.88
Economics,2016-08,1260.47
Economics,2016-09,4051.55
Economics,2016-10,1636.45
Economics,2016-11,2855.61
Economics,2016-12,1940.13
Economics,2017-01,2513.48
Economics,2017-02,1438.21
Economics,2017-03,1293.61
Economics,2017-04,-5518.22
Economics,2017-05,2402.06
Economics,2017-06,5648.68
Economics,2017-07,2175.14
Economics,2017-08,791.13
Economics,2017-09,1685.74
Economics,2017-10,1249.85
Economics,2017-11,1249.85
Economics,2017-12,5402.41
Economics,2018-01,624.91
Economics,2018-02,1249.85
Economics,2018-03,5659.63
Economics,2018-04,1249.85
Economics,2018-05,3905.42
Economics,2018-06,3374.84
Economics,2018-07,86.78
Economics,2018-08,1115.19
Economics,2018-09,2389.85
Economics,2018-10,2824.23
Economics,2018-11,3326.6
Economics,2018-12,2655.7
Economics,2019-01,1923.95
Economics,2019-02,2596.2
Economics,2019-03,3718.6
Economics,2019-04,1598.14
Economics,2019-05,3567.9
Economics,2019-06,3809.08
Economics,2019-07,332.25
Economics,2019-08,6609.67
Economics,2019-09,2354.98
Economics,2019-10,727.24
Economics,2019-11,727.24
Economics,2019-12,735.97
Economics,2020-01,3579.77
Economics,2020-02,860.4
Economics,2020-03,10617.25
Economics,2020-04,387.86
Economics,2020-05,2120.31
Economics,2020-06,6094.58
Economics,2020-07,2982.3
Economics,2020-08,1736.3
Economics,2020-09,536.45
Economics,2020-10,536.45
Economics,2020-11,18119.83
Economics,2020-12,10190.95
Economics,2021-01,970.48
Economics,2021-02,1404.53
Economics,2021-03,-3943.24
Economics,2021-04,3195.3
Economics,2021-05,10704.67
Economics,2021-06,11299.95
Economics,2021-07,8312.61
Economics,2021-08,5879.65
Economics,2021-09,4567.24
Economics,2021-10,5509.87
Economics,2021-11,4182.26
Economics,2021-12,3751.58
Economics,2022-01,4916.15
Economics,2022-02,2990.02
Economics,2022-03,2208.62
Economics,2022-04,2545.92
Economics,2022-05,14292.11
Economics,2022-06,11408.81
Economics,2022-07,6965.63
Economics,2022-08,2539.75
Economics,2022-09,5933.87
Economics,2022-10,3984.87
Economics,2022-11,2961.79
Economics,2022-12,17190.62
Economics,2023-01,1682.56
Economics,2023-02,5522.42
Economics,2023-03,3290.86
Economics,2023-04,17540.53
Economics,2023-05,30900.02
Economics,2023-06,22558.24
Economics,2023-07,15308.49
Economics,2023-08,104222.97
Economics,2023-09,4076.38
Economics,2023-10,2552.37
Economics,2023-11,8717.1
Economics,2023-12,5301.29
Economics,2024-01,6395.31
Economics,2024-02,4135.48
Economics,2024-03,2916.51
Economics,2024-04,7865.09
Economics,2024-05,28910.33
Economics,2024-06,750
Economics,2024-07,4489.53
Economics,2024-08,5036.06
Economics,2024-09,17633.77
Economics,2024-10,4587.52
Economics,2024-11,7980.96
Economics,2024-12,4111.79
Economics,2025-01,2340.91
Economics,2025-02,5209.45
Economics,2025-03,4639.46
Economics,2025-04,5358.93
Economics,2025-05,10957.96
Ecosystem Science & Management,2009-11,87.5
Ecosystem Science & Management,2009-12,309.42
Ecosystem Science & Management,2010-01,325.87
Ecosystem Science & Management,2010-02,54.79
Ecosystem Science & Management,2010-03,1739.66
Ecosystem Science & Management,2010-04,5041.1
Ecosystem Science & Management,2010-05,1352.45
Ecosystem Science & Management,2010-06,1514.24
Ecosystem Science & Management,2010-07,4109.19
Ecosystem Science & Management,2010-08,79.33
Ecosystem Science & Management,2010-09,-2985.34
Ecosystem Science & Management,2010-10,543.36
Ecosystem Science & Management,2010-11,113.75
Ecosystem Science & Management,2010-12,41.21
Ecosystem Science & Management,2011-01,920.35
Ecosystem Science & Management,2011-02,1240.91
Ecosystem Science & Management,2011-03,2399.51
Ecosystem Science & Management,2011-04,-120.74
Ecosystem Science & Management,2011-05,4934.78
Ecosystem Science & Management,2011-06,5628.94
Ecosystem Science & Management,2011-07,3751.93
Ecosystem Science & Management,2011-08,4290.99
Ecosystem Science & Management,2011-09,3189.56
Ecosystem Science & Management,2011-10,1583.72
Ecosystem Science & Management,2011-11,2282.87
Ecosystem Science & Management,2011-12,1969.11
Ecosystem Science & Management,2012-01,1709.7
Ecosystem Science & Management,2012-02,1147.53
Ecosystem Science & Management,2012-03,2848.68
Ecosystem Science & Management,2012-04,3107.72
Ecosystem Science & Management,2012-05,3245.62
Ecosystem Science & Management,2012-06,3497.13
Ecosystem Science & Management,2012-07,2163.54
Ecosystem Science & Management,2012-08,2154.44
Ecosystem Science & Management,2012-09,2438.96
Ecosystem Science & Management,2012-10,1587.62
Ecosystem Science & Management,2012-11,2000.54
Ecosystem Science & Management,2012-12,5647
Ecosystem Science & Management,2013-01,4502.25
Ecosystem Science & Management,2013-02,1324.23
Ecosystem Science & Management,2013-03,2834.86
Ecosystem Science & Management,2013-04,2695.32
Ecosystem Science & Management,2013-05,3870.32
Ecosystem Science & Management,2013-06,3728.17
Ecosystem Science & Management,2013-07,6514.05
Ecosystem Science & Management,2013-08,4325.28
Ecosystem Science & Management,2013-09,3895.73
Ecosystem Science & Management,2013-10,3676.75
Ecosystem Science & Management,2013-11,2686.64
Ecosystem Science & Management,2013-12,1593.67
Ecosystem Science & Management,2014-01,7284.68
Ecosystem Science & Management,2014-02,4927.71
Ecosystem Science & Management,2014-03,4274.79
Ecosystem Science & Management,2014-04,7037.25
Ecosystem Science & Management,2014-05,7066.23
Ecosystem Science & Management,2014-06,9839.97
Ecosystem Science & Management,2014-07,10492.85
Ecosystem Science & Management,2014-08,8122.03
Ecosystem Science & Management,2014-09,6651.4
Ecosystem Science & Management,2014-10,6647.97
Ecosystem Science & Management,2014-11,-3223.75
Ecosystem Science & Management,2014-12,3614.65
Ecosystem Science & Management,2015-01,5599.75
Ecosystem Science & Management,2015-02,2073.44
Ecosystem Science & Management,2015-03,7491.16
Ecosystem Science & Management,2015-04,4295.22
Ecosystem Science & Management,2015-05,4977.29
Ecosystem Science & Management,2015-06,11790.22
Ecosystem Science & Management,2015-07,9696.8
Ecosystem Science & Management,2015-08,10020.53
Ecosystem Science & Management,2015-09,13550.85
Ecosystem Science & Management,2015-10,8385.41
Ecosystem Science & Management,2015-11,8068.8
Ecosystem Science & Management,2015-12,10975.44
Ecosystem Science & Management,2016-01,8813.72
Ecosystem Science & Management,2016-02,9036.71
Ecosystem Science & Management,2016-03,7182.13
Ecosystem Science & Management,2016-04,3923.97
Ecosystem Science & Management,2016-05,7526.59
Ecosystem Science & Management,2016-06,19936.09
Ecosystem Science & Management,2016-07,15249.94
Ecosystem Science & Management,2016-08,19264.27
Ecosystem Science & Management,2016-09,16165.8
Ecosystem Science & Management,2016-10,18886.81
Ecosystem Science & Management,2016-11,21860.79
Ecosystem Science & Management,2016-12,19529.65
Ecosystem Science & Management,2017-01,17016.26
Ecosystem Science & Management,2017-02,15419.54
Ecosystem Science & Management,2017-03,27978.91
Ecosystem Science & Management,2017-04,16743.96
Ecosystem Science & Management,2017-05,26617.22
Ecosystem Science & Management,2017-06,23688.33
Ecosystem Science & Management,2017-07,34351.86
Ecosystem Science & Management,2017-08,30163.4
Ecosystem Science & Management,2017-09,17198.01
Ecosystem Science & Management,2017-10,16884.58
Ecosystem Science & Management,2017-11,26587.17
Ecosystem Science & Management,2017-12,20570.76
Ecosystem Science & Management,2018-01,13827.21
Ecosystem Science & Management,2018-02,16880.93
Ecosystem Science & Management,2018-03,18346.57
Ecosystem Science & Management,2018-04,20610.47
Ecosystem Science & Management,2018-05,17592.35
Ecosystem Science & Management,2018-06,36287.89
Ecosystem Science & Management,2018-07,20506.4
Ecosystem Science & Management,2018-08,44637.29
Ecosystem Science & Management,2018-09,25901
Ecosystem Science & Management,2018-10,23570.06
Ecosystem Science & Management,2018-11,14169.76
Ecosystem Science & Management,2018-12,11602.29
Ecosystem Science & Management,2019-01,15087.09
Ecosystem Science & Management,2019-02,17465.27
Ecosystem Science & Management,2019-03,14291.82
Ecosystem Science & Management,2019-04,25935.12
Ecosystem Science & Management,2019-05,32869.07
Ecosystem Science & Management,2019-06,38396.5
Ecosystem Science & Management,2019-07,34480.43
Ecosystem Science & Management,2019-08,26721.45
Ecosystem Science & Management,2019-09,24713.61
Ecosystem Science & Management,2019-10,25438
Ecosystem Science & Management,2019-11,17957.75
Ecosystem Science & Management,2019-12,26469.54
Ecosystem Science & Management,2020-01,38346.12
Ecosystem Science & Management,2020-02,22321.1
Ecosystem Science & Management,2020-03,14601.92
Ecosystem Science & Management,2020-04,9705.76
Ecosystem Science & Management,2020-05,25603.38
Ecosystem Science & Management,2020-06,24103.84
Ecosystem Science & Management,2020-07,48103.69
Ecosystem Science & Management,2020-08,22382.02
Ecosystem Science & Management,2020-09,21279.9
Ecosystem Science & Management,2020-10,18186.4
Ecosystem Science & Management,2020-11,10928.8
Ecosystem Science & Management,2020-12,10154.98
Ecosystem Science & Management,2021-01,13650.48
Ecosystem Science & Management,2021-02,19799
Ecosystem Science & Management,2021-03,31872.96
Ecosystem Science & Management,2021-04,33189.97
Ecosystem Science & Management,2021-05,46910.36
Ecosystem Science & Management,2021-06,61179.91
Ecosystem Science & Management,2021-07,70719.93
Ecosystem Science & Management,2021-08,46041.58
Ecosystem Science & Management,2021-09,26693.08
Ecosystem Science & Management,2021-10,41689.27
Ecosystem Science & Management,2021-11,39259.28
Ecosystem Science & Management,2021-12,17056.19
Ecosystem Science & Management,2022-01,22778.54
Ecosystem Science & Management,2022-02,18962.11
Ecosystem Science & Management,2022-03,30756.36
Ecosystem Science & Management,2022-04,43446.44
Ecosystem Science & Management,2022-05,26798.81
Ecosystem Science & Management,2022-06,45506.23
Ecosystem Science & Management,2022-07,74523.98
Ecosystem Science & Management,2022-08,64186.62
Ecosystem Science & Management,2022-09,58101.06
Ecosystem Science & Management,2022-10,42053.85
Ecosystem Science & Management,2022-11,26643.94
Ecosystem Science & Management,2022-12,21175.62
Ecosystem Science & Management,2023-01,28082.91
Ecosystem Science & Management,2023-02,70710.44
Ecosystem Science & Management,2023-03,65308.17
Ecosystem Science & Management,2023-04,24397.11
Ecosystem Science & Management,2023-05,40389.86
Ecosystem Science & Management,2023-06,57549.04
Ecosystem Science & Management,2023-07,37132.43
Ecosystem Science & Management,2023-08,66250.39
Ecosystem Science & Management,2023-09,49545.07
Ecosystem Science & Management,2023-10,57733.34
Ecosystem Science & Management,2023-11,67531.81
Ecosystem Science & Management,2023-12,49495.48
Ecosystem Science & Management,2024-01,17459.72
Ecosystem Science & Management,2024-02,15809.93
Ecosystem Science & Management,2024-03,33818.63
Ecosystem Science & Management,2024-04,36008.08
Ecosystem Science & Management,2024-05,29633.55
Ecosystem Science & Management,2024-06,47595.53
Ecosystem Science & Management,2024-07,42018.87
Ecosystem Science & Management,2024-08,43505.95
Ecosystem Science & Management,2024-09,18642.08
Ecosystem Science & Management,2024-10,23839.64
Ecosystem Science & Management,2024-11,16327.35
Ecosystem Science & Management,2024-12,15422.92
Ecosystem Science & Management,2025-01,38625.82
Ecosystem Science & Management,2025-02,27201.61
Ecosystem Science & Management,2025-03,-50892.53
Ecosystem Science & Management,2025-04,17417.12
Ecosystem Science & Management,2025-05,28140.42
Ecosystem Science & Management,2025-06,242.76
Education Abroad,2025-05,1496.17
Educational Health Center of Wyoming,2020-04,16
Educational Health Center of Wyoming,2020-05,124747.73
Educational Health Center of Wyoming,2020-07,5332.35
Educational Health Center of Wyoming,2020-08,1061.37
Educational Health Center of Wyoming,2020-09,2009.1
Educational Health Center of Wyoming,2020-10,1125.72
Educational Health Center of Wyoming,2020-11,2729.15
Educational Health Center of Wyoming,2020-12,1647.03
Educational Health Center of Wyoming,2021-01,3207.02
Educational Health Center of Wyoming,2021-02,12314.59
Educational Health Center of Wyoming,2021-03,7041.17
Educational Health Center of Wyoming,2021-04,8368.41
Educational Health Center of Wyoming,2021-05,6273.39
Educational Health Center of Wyoming,2021-06,1455.42
Educational Health Center of Wyoming,2021-07,4131.36
Educational Health Center of Wyoming,2021-08,2532.38
Educational Health Center of Wyoming,2021-09,5168.15
Educational Health Center of Wyoming,2021-10,6397.25
Educational Health Center of Wyoming,2021-11,23532.55
Educational Health Center of Wyoming,2021-12,3758.25
Educational Health Center of Wyoming,2022-01,6050.7
Educational Health Center of Wyoming,2022-02,6433.81
Educational Health Center of Wyoming,2022-03,1841.14
Educational Health Center of Wyoming,2022-04,2799.79
Educational Health Center of Wyoming,2022-05,4880.57
Educational Health Center of Wyoming,2022-06,2283.75
Educational Health Center of Wyoming,2022-07,1786.03
Educational Health Center of Wyoming,2022-08,1857.88
Educational Health Center of Wyoming,2022-09,1873.06
Educational Health Center of Wyoming,2022-10,10386.4
Educational Health Center of Wyoming,2022-11,1641.72
Educational Health Center of Wyoming,2022-12,1721.52
Educational Health Center of Wyoming,2023-01,1894.33
Educational Health Center of Wyoming,2023-02,1747.15
Educational Health Center of Wyoming,2023-03,4157.4
Educational Health Center of Wyoming,2023-04,1364.03
Educational Health Center of Wyoming,2023-05,32247.41
Educational Health Center of Wyoming,2023-06,265.12
Educational Health Center of Wyoming,2023-07,0
Educational Health Center of Wyoming,2023-08,0
Educational Health Center of Wyoming,2023-09,0
Educational Health Center of Wyoming,2023-11,3808
Educational Health Center of Wyoming,2024-02,2584
Educational Health Center of Wyoming,2024-06,112.86
Educational Health Center of Wyoming,2024-09,544.29
Educational Health Center of Wyoming,2024-10,272
Educational Health Center of Wyoming,2024-12,308.34
Electrical & Computer Engineering,2015-11,867.56
Electrical & Computer Engineering,2015-12,1301.96
Electrical & Computer Engineering,2016-01,434.4
Electrical & Computer Engineering,2016-02,867.56
Electrical & Computer Engineering,2016-03,266.16
Electrical & Computer Engineering,2016-04,1337.3
Electrical & Computer Engineering,2016-05,867.56
Electrical & Computer Engineering,2016-06,8519.45
Electrical & Computer Engineering,2016-08,3910.56
Electrical & Computer Engineering,2016-09,867.13
Electrical & Computer Engineering,2016-10,1072.47
Electrical & Computer Engineering,2016-11,2400.89
Electrical & Computer Engineering,2016-12,2181.58
Electrical & Computer Engineering,2017-01,743.89
Electrical & Computer Engineering,2017-02,1144.83
Electrical & Computer Engineering,2017-03,6089.69
Electrical & Computer Engineering,2017-04,1148.05
Electrical & Computer Engineering,2017-05,7147.52
Electrical & Computer Engineering,2017-06,21485.4
Electrical & Computer Engineering,2017-08,1678.96
Electrical & Computer Engineering,2017-09,862.3
Electrical & Computer Engineering,2017-10,2589.34
Electrical & Computer Engineering,2017-11,1051.86
Electrical & Computer Engineering,2017-12,1446.01
Electrical & Computer Engineering,2018-01,1205.28
Electrical & Computer Engineering,2018-02,1152.93
Electrical & Computer Engineering,2018-03,1374.27
Electrical & Computer Engineering,2018-04,862.3
Electrical & Computer Engineering,2018-05,9909.71
Electrical & Computer Engineering,2018-06,19296.38
Electrical & Computer Engineering,2018-07,4860.26
Electrical & Computer Engineering,2018-08,3021.42
Electrical & Computer Engineering,2018-09,1341.03
Electrical & Computer Engineering,2018-10,1332.34
Electrical & Computer Engineering,2018-11,1448.14
Electrical & Computer Engineering,2018-12,1896.57
Electrical & Computer Engineering,2019-01,598.75
Electrical & Computer Engineering,2019-02,2505.83
