"Proposal #","full proposal title","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","Created Date.x","Total Sponsor Costs","Sponsor Deadline","academic affairs","activity type","History Action Day and Comment","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","Actual_Submission_Month_Year","College/Division","Actual_Submission_Quarter","Actual_Funding_Quarter","Sponsor_Type_Grouped","Sponsor_Category","Submission_Status","Submission_Count","Award_Count","Total_Submission_Count","Received_Total_Sponsor_Costs"
"24-0987-P0001","Do intact migration corridors enable climate resilience? - Evaluating corridor conservation as a drought resilience strategy for mule deer across a gradient in anthropogenic development","RWO214: Do intact migration corridors enable climate resilience?","Matthew Kauffman","Wyoming Coop Unit","Funded","U.S. Geological Survey/Department of the Interior",,"Wyoming Coop Unit","9/1/2024","8/31/2027","New",,"24-0987",2024-04-29 14:45:00,397885.01,"6/21/2024 12:00:00 AM",,"Applied Research","6/20/2024 01:24:58 PM: Submitted on 06/20/2024.  Tracking number GRANT14191810 >> 8/20/2024 09:49:11 AM: Funded. Award received.",2024-06-20 13:24:58,,2024-08-20 09:49:11,,"FY2024",,"FY2025",,2024-04-29 14:45:00,"FY2024",52,61,,"June-2024","Agriculture","Q4 FY2024","Q1 FY2025","Federal","Others","Funded",0,1,1,397885.01
"24-0989-P0001","Wyoming SBDC - SBA PRIME 2024","SBA PRIME 2024","Jill K Kline","Small Business Development Center","Submitted to Sponsor","Small Business Administration",,"Small Business Development Center","9/30/2024","9/29/2025","New",,"24-0989",2024-04-29 22:22:25,103756,"4/30/2024 12:00:00 AM",,"Other Sponsored Activity","4/30/2024 10:53:29 AM: Updating admin unit and details during review >> 4/30/2024 02:53:46 PM: Submitted on 04/30/2024 at 2:50pm",2024-04-30 14:53:46,,,,"FY2024",,,,2024-04-29 22:22:25,"FY2024",1,,,"April-2024","Research & Economic Development","Q4 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0990-P0001","Water is Life, Water is Comunidad: Connecting WY Latine Community with WY Water, Hot Springs Campout","Water is Life, Water is Comunidad: Connecting WY Latine Community with WY Water, Hot Springs Campout","Jacqueline Shinker","Geology & Geophysics","Not Funded","Wyoming Humanities Council",,"Geology & Geophysics","6/18/2024","8/15/2024","New",,"24-0990",2024-04-30 08:55:48,2000,"5/1/2024 12:00:00 AM",,"Basic Research","5/3/2024 03:13:22 PM: Submitted to sponsor by PI, revised budget was resubmitted on 05/02/2024 >> 11/22/2024 02:22:29 PM: There is no record of an award for this project and the end date has passed.",2024-05-03 15:13:22,,,2024-11-22 14:22:29,"FY2024",,,"FY2025",2024-04-30 08:55:48,"FY2024",4,,203,"May-2024","Engineering","Q4 FY2024",,"State","Others","Submitted",1,0,1,0
"24-0991-P0001","Collaborative research: Stem water storage in giant cacti transforms ecohydrological processes in dryland ecosystems","Stem water storage in giant cacti transforms ecohydrological processes in dryland ecosystems","David G. Williams","Botany","Not Funded","National Science Foundation",,"Botany","1/1/2025","12/31/2028","New",,"24-0991",2024-04-30 17:21:32,1543059,"5/10/2024 12:00:00 AM",,"Basic Research","5/2/2024 09:47:12 AM: edits >> 6/12/2024 01:49:34 PM: Submitted 05/10/2024 >> 12/17/2024 08:03:40 AM: Per notice from NSF.",2024-06-12 13:49:34,,,2024-12-17 08:03:40,"FY2024",,,"FY2025",2024-04-30 17:21:32,"FY2024",43,,188,"June-2024","Agriculture","Q4 FY2024",,"Federal","NSF","Submitted",1,0,1,0
"24-0992-P0001","Acoustic Analysis of TNC property w/ Beaver Dam Analogues (BDA)","TNC - Acoustic Analysis","Riley Fehr Bernard","Zoology & Physiology","Funded","The Nature Conservancy",,"Zoology & Physiology","5/20/2024","8/16/2024","New",,"24-0992",2024-05-01 09:17:02,7960.76,"5/10/2024 12:00:00 AM",,"Applied Research","5/9/2024 09:50:22 AM: edits >> 5/10/2024 12:19:36 PM: in review queue >> 5/29/2024 03:49:18 PM: Funded for $8000",2024-05-10 12:19:36,,2024-05-29 15:49:18,,"FY2024",,"FY2024",,2024-05-01 09:17:02,"FY2024",9,19,,"May-2024","Agriculture","Q4 FY2024","Q4 FY2024","Non-profit","Others","Funded",0,1,1,7960.76
"24-0993-P0001","The investigation of utilizing recycled rubber fills in the infrastructure-Phase I","Utilizing recycled rubber fills in infrastructure","Kam Weng Ng","Civil & Architectural Engineering & Construction Management","Under Consideration","Bureau of Reclamation/Department of the Interior","Bureau of Reclamation/Department of the Interior","Civil & Architectural Engineering & Construction Management","1/1/2025","12/31/2027","New",,"24-0993",2024-05-01 14:33:09,281562.8,"5/21/2024 12:00:00 AM",,"Applied Research","5/29/2024 10:57:37 AM: Submitted >> 10/21/2024 01:11:04 PM: PI notified us that this was funded. Following up with PI to get Sponsor contact information to get agreement in place.",2024-05-29 10:57:37,2024-10-21 13:11:04,,,"FY2024","FY2025",,,2024-05-01 14:33:09,"FY2024",28,,,"May-2024","Engineering","Q4 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-0994-P0001","Sharpening Assessment of Bipolar Spectrum and Comorbid Disorders: Developing Open-Source Assessment Measures for Use with Underserved Populations","One Mind Rising Star Award","Kasey J. Stanton","Psychology","Not Funded","ADD NEW",,"Psychology","9/1/2024","8/31/2027","New",,"24-0994",2024-05-01 16:47:09,299382.6,"5/31/2024 12:00:00 AM",,"Basic Research","6/10/2024 01:57:02 PM: Submitted >> 8/8/2024 04:05:21 PM: Not funded per notice from the Sponsor.",2024-06-10 13:57:02,,,2024-08-08 16:05:21,"FY2024",,,"FY2025",2024-05-01 16:47:09,"FY2024",40,,59,"June-2024","Arts & Sciences","Q4 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"24-0995-P0001","Improving communication between crime laboratories and legal professionals","Improving communication between crime laboratories and legal professionals","Kayla A Burd","Psychology","Submitted to Sponsor","Arizona State University","National Science Foundation","Psychology","2/1/2025","1/31/2028","Resubmission",,"24-0995",2024-05-02 09:01:30,227189,"7/1/2024 12:00:00 AM",,"Basic Research","5/23/2024 04:18:54 PM: indev >> 6/26/2024 11:50:04 AM: edit due date >> 6/26/2024 11:50:28 AM: Submitted",2024-06-26 11:50:28,,,,"FY2024",,,,2024-05-02 09:01:30,"FY2024",55,,,"June-2024","Arts & Sciences","Q4 FY2024",,"Others","Others","Submitted",1,0,1,0
"24-0996-P0001","Statewide Habitat Plan Application Stewardship","Statewide Habitat Plan Application Stewardship","Shannon E. Albeke","Wyoming Geographic Information Science Center","Funded","Wyoming Game and Fish Department",,"Wyoming Geographic Information Science Center","7/1/2024","12/31/2029","New",,"24-0996",2024-05-02 11:54:30,7610,"6/30/2024 12:00:00 AM",,"Other Sponsored Activity","5/6/2024 08:27:05 AM: Moving to update RoamWyo Fields
 >> 6/24/2024 01:00:48 PM: Unsolicited. Agreement under review. >> 6/24/2024 01:01:04 PM: Agreement under review. >> 7/8/2024 02:31:40 PM: Funded.",2024-06-24 13:00:48,2024-06-24 13:01:04,2024-07-08 14:31:40,,"FY2024","FY2024","FY2025",,2024-05-02 11:54:30,"FY2024",53,14,,"June-2024","Engineering","Q4 FY2024","Q1 FY2025","State","Others","Funded",0,1,1,7610
"24-0997-P0001","Water Research Program USGS 104b Grant FY24","Water Research Program USGS 104b Grant","Greg Lynn Kerr","VP for Research & Economic Development Office","Submitted to Sponsor","U.S. Geological Survey/Department of the Interior",,"VP for Research & Economic Development Office","4/11/2024","5/22/2024","New",,"24-0997",2024-05-02 13:42:41,146895,"5/22/2024 12:00:00 AM",,"Applied Research","5/20/2024 01:09:16 PM: Updating list of fiscal managers >> 7/2/2024 03:27:37 PM: Submitted 05/22/2024",2024-07-02 15:27:37,,,,"FY2025",,,,2024-05-02 13:42:41,"FY2024",61,,,"July-2024","Research & Economic Development","Q1 FY2025",,"Federal","Others","Submitted",1,0,1,0
"24-0998-P0001","Uzbekistan Faculty Exchange, World Learning Subaward","Uzbekistan Faculty Exchange","Isadora Anderson Helfgott","VP of Global Engagement","Submitted to Sponsor","The World Learning, Inc.","Department of State","VP of Global Engagement","8/1/2024","7/31/2025","New",,"24-0998",2024-05-02 14:05:45,48610.18,"5/16/2024 12:00:00 AM",TRUE,"Other Sponsored Activity","5/15/2024 01:37:45 PM: Submitted by PI via email.",2024-05-15 13:37:45,,,,"FY2024",,,,2024-05-02 14:05:45,"FY2024",13,,,"May-2024","Academic Affairs","Q4 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"24-0999-P0001","Wyoming Governor's Office Passthrough to WYNDD","WY GOV Passthrough to WYNDD","Gary P. Beauvais","Wyo Natural Diversity Database","Funded","Wyoming Governor's Office",,"Wyo Natural Diversity Database","7/1/2024","6/30/2026","New",,"24-0999",2024-05-03 12:24:27,349254,"7/1/2024 12:00:00 AM",,"Other Sponsored Activity","6/28/2024 11:05:54 AM: Updating form fields >> 6/28/2024 04:25:52 PM: Submitted 06/28/2024 - FJR countersigned agreement >> 7/16/2024 12:02:33 PM: Funded.",2024-06-28 16:25:52,,2024-07-16 12:02:33,,"FY2024",,"FY2025",,2024-05-03 12:24:27,"FY2024",56,18,,"June-2024","Research & Economic Development","Q4 FY2024","Q1 FY2025","State","Others","Funded",0,1,1,349254
"24-1000-P0001","Petitioned bumble bees in Wyoming: are parasites a factor in their decline?","Bumble bees and their parasites","Lusha Marguerite Tronstad","Wyo Natural Diversity Database","Funded","Wyoming Governor's Office",,"Wyo Natural Diversity Database","7/1/2024","6/30/2026","New",,"24-1000",2024-05-03 12:43:57,88732,"1/1/2024 12:00:00 AM",,"Basic Research","6/28/2024 11:30:04 AM: Updating form fields >> 7/2/2024 03:24:20 PM: Submitted 06/28/2024 >> 7/16/2024 12:02:02 PM: Funded.",2024-07-02 15:24:20,,2024-07-16 12:02:02,,"FY2025",,"FY2025",,2024-05-03 12:43:57,"FY2024",60,14,,"July-2024","Research & Economic Development","Q1 FY2025","Q1 FY2025","State","Others","Funded",0,1,1,88732
"24-1001-P0001","Butterflies in eastern Wyoming: gathering information on petitioned species including a skipper","Skippers in eastern Wyoming","Lusha Marguerite Tronstad","Wyo Natural Diversity Database","Closed","Wyoming Governor's Office",,"Wyo Natural Diversity Database","7/1/2024","6/30/2026","New",,"24-1001",2024-05-03 12:53:53,39493,"1/1/2024 12:00:00 AM",,"Basic Research","6/28/2024 11:33:00 AM: Updating form fields
 >> 7/2/2024 03:24:33 PM: Submitted 06/28/2024 >> 7/8/2024 01:28:11 PM: Closing because award was combined with another proposal (24-1000-P0001).",2024-07-02 15:24:33,,,,"FY2025",,,,2024-05-03 12:53:53,"FY2024",60,,,"July-2024","Research & Economic Development","Q1 FY2025",,"State","Others","Submitted",1,0,1,0
"24-1002-P0001","Can painting the bases of wind turbines reduce insects and increase power produced at wind facilities","Painting wind turbine bases","Lusha Marguerite Tronstad","Wyo Natural Diversity Database","Not Funded","U.S. Fish & Wildlife Service/Department of the Interior",,"Wyo Natural Diversity Database","10/1/2024","9/30/2026","New",,"24-1002",2024-05-03 13:09:42,75746,"6/1/2024 12:00:00 AM",,"Applied Research","6/12/2024 02:04:03 PM: PI submitted application on 05/30/2024 - email in central email >> 2/7/2025 12:21:45 PM: Spoke with PI on 02/06/2025.  Project team plans to resubmit in May 2025",2024-06-12 14:04:03,,,2025-02-07 12:21:45,"FY2024",,,"FY2025",2024-05-03 13:09:42,"FY2024",40,,240,"June-2024","Research & Economic Development","Q4 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-1003-P0001","Chemical Abundances of a Billion Stars with GALEX, Gaia, 2MASS, and WISE","Chemical Abundances of a Billion Stars with GALEX, Gaia, 2MASS, and WISE","Maxwell Cassady Moe","Physics & Astronomy","Funded","National Aeronautics and Space Administration",,"Physics & Astronomy","5/1/2025","4/30/2028","New",,"24-1003",2024-05-03 13:52:49,368000,"5/16/2024 12:00:00 AM",,"Basic Research","5/16/2024 03:55:00 PM: Submitted on 05/16/2024 - Proposal Number: 24-ADAP24-0165 >> 11/1/2024 04:39:07 PM: NPSIRES is showing proposal as ""Selected"" >> 5/7/2025 09:04:38 AM: NOA Received",2024-05-16 15:55:00,2024-11-01 16:39:07,2025-05-07 09:04:38,,"FY2024","FY2025","FY2025",,2024-05-03 13:52:49,"FY2024",13,356,,"May-2024","Engineering","Q4 FY2024","Q4 FY2025","Federal","Others","Funded",0,1,1,368000
"24-1004-P0001","PAD2 as a novel regulator of diastolic dysfunction in the aging female heart","PAD2 as a novel regulator of diastolic dysfunction in the aging female heart","Danielle R Bruns","Kinesiology & Health","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",,"Kinesiology & Health","4/1/2025","3/31/2027","New",,"24-1004",2024-05-06 06:37:45,387547,"6/19/2024 12:00:00 AM",,"Basic Research","6/19/2024 01:42:11 PM: Submitted on 06/19/2024 at 1pm",2024-06-19 13:42:11,,,,"FY2024",,,,2024-05-06 06:37:45,"FY2024",45,,,"June-2024","Health Sciences","Q4 FY2024",,"Federal","NIH","Submitted",1,0,1,0
"24-1005-P0001","Sustaining Pathways for Tribal Student Recruitment, Engagement, and Success","Native American student support and mentoring","Jill Fabricius Keith","Family & Consumer Sciences","Funded","National Institute of Food and Agriculture/Department of Agriculture",,"Family & Consumer Sciences","10/1/2024","9/30/2028","New",,"24-1005",2024-05-06 09:29:11,249736,"6/5/2024 12:00:00 AM",,"Other Sponsored Activity","6/3/2024 09:56:20 AM: edits >> 6/5/2024 02:01:28 PM: submitted after approval via notes and email. >> 7/9/2024 11:57:35 AM: Received an email from the PI on 7/9/2024 (see attachments) >> 8/29/2024 03:04:44 PM: Funded.",2024-06-05 14:01:28,2024-07-09 11:57:35,2024-08-29 15:04:44,,"FY2024","FY2025","FY2025",,2024-05-06 09:29:11,"FY2024",30,85,,"June-2024","Agriculture","Q4 FY2024","Q1 FY2025","Federal","USDA-NIFA","Funded",0,1,1,249736
"24-1006-P0001","Commercial-Scale Carbon Storage Modeling Assessment","Commerical-Scale Carbon Storage Modeling Assessment","Autumn Eakin","School of Energy Resources Directors Office","Funded","Severson Carbon Management",,"School of Energy Resources Directors Office","6/10/2024","12/10/2024","New",,"24-1006",2024-05-06 14:36:27,300000,"5/31/2024 12:00:00 AM",,"Basic Research","6/12/2024 01:59:22 PM: Submitted 05/31/2024 >> 6/12/2024 01:59:38 PM: See notes for TD Ticket for agreement review >> 9/27/2024 10:01:42 AM: Funded.",2024-06-12 13:59:22,2024-06-12 13:59:38,2024-12-11 17:40:24,,"FY2024","FY2024","FY2025",,2024-05-06 14:36:27,"FY2024",37,182,,"June-2024","School of Energy Resources","Q4 FY2024","Q2 FY2025","Business","Others","Funded",0,1,1,300000
"24-1007-P0001","Investigating Cloud Glaciation in Mixed-Phase Clouds Using Advanced Airborne Remote Sensing Observations","NSF CAREER 2024","Masanori Saito","Atmospheric Science","Not Funded","National Science Foundation",,"Atmospheric Science","6/1/2025","5/31/2030","New",,"24-1007",2024-05-06 15:27:18,700001,"7/24/2024 12:00:00 AM",,"Basic Research","7/25/2024 11:33:57 AM: Submitted >> 1/20/2025 02:36:56 PM: NSF is unable to support this proposal.",2024-07-25 11:33:57,,,2025-01-20 14:36:56,"FY2025",,,"FY2025",2024-05-06 15:27:18,"FY2024",80,,179,"July-2024","Engineering","Q1 FY2025",,"Federal","NSF","Submitted",1,0,1,0
"24-1008-P0001","Wyoming NASA Space Grant Consortium: Engagement Opportunities in NASA STEM FY 2025-2029","Wyoming NASA Space Grant Consortium: Engagement Opportunities in NASA STEM FY 2025-2029","Shawna M. McBride","EPSCoR/IDEA Office","Under Consideration","National Aeronautics and Space Administration",,"Physics & Astronomy","6/10/2025","6/9/2029","New",,"24-1008",2024-05-07 16:36:14,3410000,"7/10/2024 12:00:00 AM",,"Instruction","7/9/2024 12:46:37 PM: updating budget field
 >> 7/10/2024 12:28:14 PM: Approved per FJR.  See notes >> 7/10/2024 02:11:03 PM: See attached full submission.  Submitted 07.10.2024 4:09pm >> 4/29/2025 01:03:24 PM: NSSC SP Procurement Department has begun receiving information for your Grant. The information submitted is being reviewed; you will be contacted if further information is needed.
This is to notify you that the period of performance start date for the above-mentioned proposal has a start date of 06/10/2025.  We will use the proposed start date unless otherwise instructed.
",2024-07-10 14:11:03,2025-04-29 13:03:24,,,"FY2025","FY2025",,,2024-05-07 16:36:14,"FY2024",64,,,"July-2024","Engineering","Q1 FY2025",,"Federal","Others","Submitted",1,0,1,0
"24-1009-P0001","StateView Program Development and Operations for the State of Wyoming","StateView Program Development and Operations for the State of Wyoming - 2024","Ramesh Sivanpillai","Wyoming Geographic Information Science Center","Under Consideration","America View, Inc.",,"School of Computing","9/15/2024","9/15/2025","New",,"24-1009",2024-05-07 22:18:34,25500,"6/17/2024 12:00:00 AM",,"Applied Research","6/14/2024 07:13:02 AM: updating form fields - minor edits >> 6/26/2024 07:26:23 AM: Submitted to sponsor in June 2024 >> 1/2/2025 03:07:31 PM: Agreement forwarded to Abe on 1/2/2025",2024-06-26 07:26:23,2025-01-02 15:07:31,,,"FY2024","FY2025",,,2024-05-07 22:18:34,"FY2024",50,,,"June-2024","Engineering","Q4 FY2024",,"Non-profit","Others","Submitted",1,0,1,0
"24-1010-P0001","Early Childhood Vision Screening","Early Childhood Vision Screening","Canyon Leigh Hardesty","Wyoming Institute for Disabilities WIND","Funded","Wyoming Department of Education",,"Wyoming Institute for Disabilities WIND","6/1/2024","5/31/2025","New",,"24-1010",2024-05-08 09:24:24,8500,"5/17/2024 12:00:00 AM",,"Other Sponsored Activity","6/10/2024 01:55:24 PM: agreement for review, no real ""submission"" >> 6/10/2024 04:04:57 PM: Agreement PE. >> 6/10/2024 04:17:45 PM: Funded.",2024-06-10 13:55:24,2024-06-10 16:04:57,2024-06-10 16:17:45,,"FY2024","FY2024","FY2024",,2024-05-08 09:24:24,"FY2024",33,0,,"June-2024","Health Sciences","Q4 FY2024","Q4 FY2024","State","Others","Funded",0,1,1,8500
"24-1011-P0001","CAREER: Improving Methane Emission Quantification and Monitoring with Ethane Observations and Emission Forecasting","NSF CAREER 2024","Dana Caulton","Atmospheric Science","Not Funded","National Science Foundation",,"Atmospheric Science","9/1/2025","8/31/2030","Resubmission",,"24-1011",2024-05-08 09:27:38,790148,"7/24/2024 12:00:00 AM",,"Applied Research","7/24/2024 10:19:14 AM: Submitted >> 2/4/2025 08:31:13 AM: NSF is unable to support this proposal.",2024-07-24 10:19:14,,,2025-02-04 08:31:13,"FY2025",,,"FY2025",2024-05-08 09:27:38,"FY2024",77,,195,"July-2024","Engineering","Q1 FY2025",,"Federal","NSF","Submitted",1,0,1,0
"24-1012-P0001","Characterizing the Variability of Dust Mineralogy, Dust-borne Nutrients and Direct Radiative Effect Over the Past Two Decades","NASA MAP 2024","Masanori Saito","Atmospheric Science","Submitted to Sponsor","National Aeronautics and Space Administration","National Aeronautics and Space Administration","Atmospheric Science","1/1/2025","12/31/2028","New",,"24-1012",2024-05-08 09:52:55,30330,"6/8/2024 12:00:00 AM",,"Basic Research","6/4/2024 10:00:56 AM: edits >> 6/4/2024 10:01:49 AM: edits >> 6/10/2024 01:59:10 PM: Submitted",2024-06-10 13:59:10,,,,"FY2024",,,,2024-05-08 09:52:55,"FY2024",33,,,"June-2024","Engineering","Q4 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-1013-P0001","Implementing Nurse-Led Palliative Care for Rural Oncology Patients:  A Two-Year Health Promotion Pilot Project in Southeastern Wyoming","PAR-22-230 NINR Areas of Emphasis for Research to Optimize Health and Advance Health Equity","Jennifer M.L Stephens","School of Nursing","Submitted to Sponsor","National Institutes of Health/Department of Health and Human Services",,"School of Nursing","12/1/2025","11/30/2027","New",,"24-1013",2024-05-08 12:08:14,331719,"2/16/2025 12:00:00 AM",,"Applied Research","2/17/2025 11:38:39 AM: Submitted",2025-02-17 11:38:39,,,,"FY2025",,,,2024-05-08 12:08:14,"FY2024",285,,,"February-2025","Health Sciences","Q3 FY2025",,"Federal","NIH","Submitted",1,0,1,0
"24-1014-P0001","Analysis of Bat Acoustic Data for Presence of T&E Species at Mount Rushmore","Analysis of Bat Acoustic Data for Presence of T&E Species at Mount Rushmore","Riley Fehr Bernard","Zoology & Physiology","Submitted to Sponsor","National Park Service/Department of the Interior",,"Wyo Natural Diversity Database","10/1/2024","9/30/2026","New",,"24-1014",2024-05-08 15:37:55,54414.67,"5/10/2024 12:00:00 AM",,"Applied Research","5/9/2024 11:28:42 AM: need scope of work >> 5/10/2024 03:58:01 PM: Approved per direction from FJR. >> 6/12/2024 01:54:48 PM: PI Submitted proposal to NPS via email on 05/10/2024 - email in main",2024-06-12 13:54:48,,,,"FY2024",,,,2024-05-08 15:37:55,"FY2024",35,,,"June-2024","Research & Economic Development","Q4 FY2024",,"Federal","Others","Submitted",1,0,1,0
"24-1015-P0001","American Heritage Center Radio Broadcast Audio Project","American Heritage Center Radio Broadcast Journalism Project","Jessica Ann LaBozetta","American Heritage Center","Not Funded","National Endowment for the Humanities",,"American Heritage Center","6/1/2025","5/31/2028","New",,"24-1015",2024-05-09 11:53:50,234908,"7/16/2024 12:00:00 AM",TRUE,"Other Sponsored Activity","7/15/2024 02:24:02 PM: Submitted >> 5/9/2025 01:56:41 PM: Not chosen for funding",2024-07-15 14:24:02,,,2025-05-09 13:56:41,"FY2025",,,"FY2025",2024-05-09 11:53:50,"FY2024",67,,298,"July-2024","Academic Affairs","Q1 FY2025",,"Federal","Others","Submitted",1,0,1,0
"24-1016-P0001","Brush Creek Ski Trail Maintenance and Fuels Reduction","Brush Creek Ski Trail Maintenance and Fuels Reduction","Tyler Joe Carroll","Haub School of Environment & Natural Resources","Funded","National Forest Foundation",,"Haub School of Environment & Natural Resources","6/10/2024","12/31/2025","New",,"24-1016",2024-05-09 12:22:55,60000,"5/24/2024 12:00:00 AM",,"Other Sponsored Activity","6/5/2024 01:46:47 PM: Moving to development to update form fields
 >> 6/25/2024 12:15:51 PM: Submitted to sponsor >> 7/30/2024 04:33:18 PM: Agreement under review. >> 8/9/2024 08:10:36 AM: Funded.",2024-06-25 12:15:51,2024-07-30 16:33:18,2024-08-09 08:10:36,,"FY2024","FY2025","FY2025",,2024-05-09 12:22:55,"FY2024",47,45,,"June-2024","Haub School of Environment & Natural Resources","Q4 FY2024","Q1 FY2025","Non-profit","Others","Funded",0,1,1,60000
"24-1017-P0001","Inventory and Assess Non-Ice Context High-Elevation Archeological Resources Impacted by Climate Change, Trident Plateau, Two Ocean Plateau, and Absaroka Range, Yellowstone NP","Archaeological Survey of the Trident Plateau, Two Ocean Plateau, and in the Absaroka Range, Yellowstone National Park.","Marcia L. Peterson","Anthropology","Funded","National Park Service/Department of the Interior",,"Anthropology","7/1/2024","12/31/2027","New",,"24-1017",2024-05-09 13:47:47,158271.98,"5/22/2024 12:00:00 AM",,"Applied Research","5/22/2024 09:34:53 AM: edits >> 5/22/2024 02:57:57 PM: submitted
 >> 9/19/2024 05:22:20 AM: NPS is conducting final review.  See notes and attachments.  Task agreement may be forthcoming soon. >> 9/20/2024 11:23:14 AM: Award rec'd",2024-05-22 14:57:57,2024-09-19 05:22:20,2024-09-20 11:23:14,,"FY2024","FY2025","FY2025",,2024-05-09 13:47:47,"FY2024",13,121,,"May-2024","Arts & Sciences","Q4 FY2024","Q1 FY2025","Federal","Others","Funded",0,1,1,158271.98
"24-1018-P0001","McGregor Dry Bean Seed Treatment 2024 Powell","McGregor Dry Bean Treatment 2024 Powell","James J. Heitholt","Plant Sciences","Funded","The McGregor Company",,"Plant Sciences","5/23/2024","12/31/2025","New",,"24-1018",2024-05-09 15:35:23,5400,"5/16/2024 12:00:00 AM",,"Applied Research","5/15/2024 03:01:13 PM: DKH >> 5/29/2024 10:56:58 AM: Submitted >> 6/11/2024 03:05:50 PM: Agreement under review. >> 7/2/2024 03:14:04 PM: Funded on 6/24/2024",2024-05-29 10:56:58,2024-06-11 15:05:50,2024-09-27 14:24:57,,"FY2024","FY2024","FY2025",,2024-05-09 15:35:23,"FY2024",20,121,,"May-2024","Agriculture","Q4 FY2024","Q1 FY2025","Business","Others","Funded",0,1,1,5400
"24-1019-P0001","News Media Survey","News Media Survey","Michael D. Dorssom","Wyoming Survey & Analysis Center","Funded","Wyoming Community Foundation",,"Wyoming Survey & Analysis Center","5/15/2024","8/15/2024","New",,"24-1019",2024-05-10 13:41:02,16786,"5/13/2024 12:00:00 AM",,"Other Sponsored Activity","5/10/2024 02:47:46 PM: Moved to development to update RoamWyo fields and review entry >> 5/27/2024 12:00:00 PM: Submitted. >> 5/27/2024 12:00:08 PM: Funded.",2024-05-27 12:00:00,,2024-05-27 12:00:08,,"FY2024",,"FY2024",,2024-05-10 13:41:02,"FY2024",17,0,,"May-2024","Research & Economic Development","Q4 FY2024","Q4 FY2024","Non-profit","Others","Funded",0,1,1,16786
"24-1019-P0002","News Media Survey","News Media Survey","Michael D. Dorssom","Wyoming Survey & Analysis Center","Closed","Wyoming Community Foundation",,"Wyoming Survey & Analysis Center","5/23/2024","9/5/2024","Other",,"24-1019",2024-08-16 14:51:08,5000,"8/23/2024 12:00:00 AM",,"Other Sponsored Activity","8/18/2024 06:11:16 PM: Moving to development to update form fields, update deadline and re-open so that department can attach scope of work >> 8/28/2024 12:04:06 PM: Amendment complete for award 24-1019-A0001-2. TD ticket 21708007",,,2024-08-28 12:04:06,,,,"FY2025",,2024-08-16 14:51:08,"FY2025",,,,,"Research & Economic Development",,"Q1 FY2025","Non-profit","Others","Funded",0,1,1,5000
"24-1020-P0001","Water Research Program FY2024","WY Water Research Program","Greg Lynn Kerr","VP for Research & Economic Development Office","Funded","Wyoming Water Development Commission",,"VP for Research & Economic Development Office","7/1/2024","6/30/2028","New",,"24-1020",2024-05-10 17:37:45,397514,"6/30/2024 12:00:00 AM",,"Other Sponsored Activity","6/25/2024 09:36:51 AM: see email >> 6/28/2024 07:16:57 AM: This certification is caveated by cayuse showing a combination of two projects. With many of the pieces of information being combined across the two projects, I cannot certify the veracity of some of the information contained herein. >> 7/23/2024 08:18:12 AM: After the fact submission.  Finalized in July 2024 >> 7/23/2024 08:18:34 AM: After the fact submission.  Award in set up",2024-07-23 08:18:12,,2024-07-23 08:18:34,,"FY2025",,"FY2025",,2024-05-10 17:37:45,"FY2024",74,0,,"July-2024","Research & Economic Development","Q1 FY2025","Q1 FY2025","State","Others","Funded",0,1,1,397514
"24-1020-P0002","Wyoming Water Research Program | FY 2025","WY Water Research Program","Greg Lynn Kerr","VP for Research & Economic Development Office","Funded","Wyoming Water Development Commission",,"VP for Research & Economic Development Office","7/1/2025","6/30/2028","New",,"24-1020",2025-03-26 14:52:50,368998,"6/30/2025 12:00:00 AM",,"Other Sponsored Activity","5/14/2025 04:41:24 PM: Contract in hand - post-submission review >> 5/14/2025 04:41:37 PM: Post-Submission review.  Contract in hand >> 5/28/2025 09:58:49 AM: funded",2025-05-14 16:41:24,2025-05-14 16:41:37,2025-05-28 09:58:49,,"FY2025","FY2025","FY2025",,2025-03-26 14:52:50,"FY2025",49,14,,"May-2025","Research & Economic Development","Q4 FY2025","Q4 FY2025","State","Others","Funded",0,1,1,368998
